127.0.0.1 - - [22/Jul/2025:14:20:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:20:54 +0530] "GET /Advance_Web_Project/UserRegistration.jsp HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:20:55 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:21:47 +0530] "GET /Advance_Web_Project/UserRegistration.jsp HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:22:39 +0530] "GET /Advance_Web_Project/UserRegistration.jsp HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:24:59 +0530] "GET /Advance_Web_Project/UserRegistration.jsp HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:25:58 +0530] "GET /Advance_Web_Project/UserRegistration.jsp HTTP/1.1" 200 891
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:32:14 +0530] "GET /Advance_Web_Project/UserRegistration.jsp HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:32:37 +0530] "GET /Advance_Web_Project/UserDetails.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:33:25 +0530] "GET /Advance_Web_Project/UserDetails.jsp?firstName=ajay&lastName=pratap&loginID=ajay%40user&password=ajay&dob=2025-07-22&address=Indore&signUp=Submit HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:33:28 +0530] "GET /Advance_Web_Project/UserDetails.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:33:30 +0530] "GET /Advance_Web_Project/UserDetails.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:33:59 +0530] "GET /Advance_Web_Project/UserDetails.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:38:54 +0530] "GET /Advance_Web_Project/UserDetails.jsp?firstName=ajay&lastName=pratap&loginID=ajay%40user&password=ajay&dob=2025-07-22&address=Indore&signUp=Submit HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:39:11 +0530] "GET /Advance_Web_Project/UserRegistration.jsp HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:39:11 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:39:28 +0530] "GET /Advance_Web_Project/UserDetails.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:39:31 +0530] "GET /Advance_Web_Project/UserDetails.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:39:34 +0530] "GET /Advance_Web_Project/UserDetails.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:39:45 +0530] "GET /Advance_Web_Project/UserDetails.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:40:04 +0530] "GET /Advance_Web_Project/UserDetails.jsp?firstName=ajay&lastName=kerketta&loginID=ajay%40user&password=ajay&dob=2025-07-22&address=flat+no+405+block+12+VBHC+apartments+opposite+govardhan+granite+chandapur-anekal+road&signUp=Submit HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:40:21 +0530] "GET /Advance_Web_Project/UserDetails.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:40:42 +0530] "GET /Advance_Web_Project/UserDetails.jsp?firstName=ajay&lastName=kerketta&loginID=ajay%40user&password=ajay&dob=2025-07-22&address=flat+no+405+block+12+VBHC+apartments+opposite+govardhan+granite+chandapur-anekal+road&signUp=Submit HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:41:08 +0530] "GET /Advance_Web_Project/UserDetails.jsp?firstName=ajay&lastName=kerketta&loginID=ajay%40user&password=ajay&dob=2025-07-22&address=flat+no+405+block+12+VBHC+apartments+opposite+govardhan+granite+chandapur-anekal+road&signUp=Submit HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:41:09 +0530] "GET /Advance_Web_Project/UserDetails.jsp?firstName=ajay&lastName=kerketta&loginID=ajay%40user&password=ajay&dob=2025-07-22&address=flat+no+405+block+12+VBHC+apartments+opposite+govardhan+granite+chandapur-anekal+road&signUp=Submit HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [22/Jul/2025:14:41:10 +0530] "GET /Advance_Web_Project/UserDetails.jsp?firstName=ajay&lastName=kerketta&loginID=ajay%40user&password=ajay&dob=2025-07-22&address=flat+no+405+block+12+VBHC+apartments+opposite+govardhan+granite+chandapur-anekal+road&signUp=Submit HTTP/1.1" 200 285
